task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
449	59/48a60e	16885029	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDCLIP (KI_2)	COMPLETED	0	2022-03-13 16:53:26.731	3m 54s	2m 51s	5.0%	4.4 MB	18.5 MB	853.4 MB	853.3 MB
411	f2/33b365	16884986	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KI_3)	COMPLETED	0	2022-03-13 16:27:56.762	29m 38s	10m 27s	5.1%	3.5 MB	209.7 MB	4 GB	5.4 KB
448	5c/35b8c3	16885030	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (KI_2)	COMPLETED	0	2022-03-13 16:53:26.854	4m 18s	2m 45s	5.3%	4.4 MB	18.5 MB	829.2 MB	829.2 MB
415	0d/41fa8c	16884990	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KO_3)	COMPLETED	0	2022-03-13 16:27:57.228	30m 13s	10m 39s	5.3%	3.5 MB	209.7 MB	4.2 GB	5.4 KB
409	44/3f65e0	16884991	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KI_5)	COMPLETED	0	2022-03-13 16:27:57.344	30m 18s	10m 16s	22.7%	5.2 MB	211.2 MB	3.7 GB	255.2 KB
418	c6/624eee	16884992	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KO_3)	COMPLETED	0	2022-03-13 16:27:57.443	31m 58s	11m 27s	23.0%	5.1 MB	211.2 MB	4.2 GB	254.6 KB
417	47/74d86f	16884993	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KI_3)	COMPLETED	0	2022-03-13 16:27:57.541	33m 38s	11m 32s	21.5%	5.3 MB	211.2 MB	4 GB	254.3 KB
424	bd/1cbdfb	16884997	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (KI_4)	COMPLETED	0	2022-03-13 16:27:57.988	34m 32s	11m 24s	5.6%	3.5 MB	209.7 MB	4.4 GB	5.4 KB
433	b5/a1a9cd	16885015	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_4)	COMPLETED	0	2022-03-13 16:28:20.300	34m 45s	4s	1.3%	2.7 MB	11.9 MB	3.7 MB	6.2 KB
495	02/d98de7	16885076	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (KI_2)	COMPLETED	0	2022-03-13 16:57:21.564	6m 29s	6m 15s	10.7%	107.2 MB	137.1 MB	2.5 GB	197.6 MB
496	d5/99ab5e	16885077	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (KI_2)	COMPLETED	0	2022-03-13 16:57:45.461	6m 30s	6m 11s	10.3%	103.7 MB	133.6 MB	2.4 GB	192 MB
437	be/384d5e	16885018	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KI_2)	COMPLETED	0	2022-03-13 16:32:20.328	32m 10s	1s	5.4%	2.7 MB	11.9 MB	3.9 MB	6.2 KB
421	af/7dbe41	16884996	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (WT_2)	COMPLETED	0	2022-03-13 16:27:57.874	36m 47s	13m 38s	21.1%	5.3 MB	211.2 MB	4.6 GB	255.6 KB
420	76/8a8f9c	16884995	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (KO_2)	COMPLETED	0	2022-03-13 16:27:57.758	37m 8s	14m 1s	21.4%	5.2 MB	211.2 MB	4.8 GB	255.6 KB
