tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000061280	ENSMUST00000061280	ENSMUSG00000051285	2675.102	2877.3	2233.893	2928.056	2481.239	2920.129	2507.61	2408.685	2676.103	2953.902	1555.859	2239.971	2575.036	2640.74	2783.042
ENSMUST00000182114	ENSMUST00000182114	ENSMUSG00000051285	14.359	13.658	2.928	3.435	2.7	10.618	6.602	13.33	0	7.081	2.165	2.468	6.449	2.615	4.843
ENSMUST00000182306	ENSMUST00000182306	ENSMUSG00000051285	0	0	0	0	0	0	0	0	6.897	0	0	0	0	0	1.805
ENSMUST00000182823	ENSMUST00000182823	ENSMUSG00000051285	529.716	354.564	360.011	368.404	193.957	460.065	288.282	444.901	381.173	338.43	221.134	290.955	209.348	515.468	372.435
ENSMUST00000182051	ENSMUST00000182051	ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000182675	ENSMUST00000182675	ENSMUSG00000051285	0	41.49	4.041	9.901	84.356	21.695	0	45.055	0	29.574	0	62.133	0	6.76	23.443
ENSMUST00000194854	ENSMUST00000194854	ENSMUSG00000103509	250	420	262	285	236	509	497	297	550	311	255	312	343	313	286
ENSMUST00000182388	ENSMUST00000182388	ENSMUSG00000051285	35.95	66.334	38.419	55.927	50.363	85.322	74.516	33.463	87.24	50.003	31.438	51.387	42.549	77.697	47.518
ENSMUST00000182892	ENSMUST00000182892	ENSMUSG00000051285	540.343	604.385	475.827	401.65	290.989	688.979	723.184	294.102	760.897	468.33	389.001	527.874	587.249	463.021	469.587
ENSMUST00000183204	ENSMUST00000183204	ENSMUSG00000051285	53.53	41.27	9.881	37.627	55.397	21.192	6.807	87.465	122.688	51.68	32.404	10.211	48.368	38.698	58.328
ENSMUST00000029124	ENSMUST00000029124	ENSMUSG00000048538	5.1	11.66	9.337	7.133	6.864	4.181	9.378	2.092	7.66	3.961	7.617	8.548	5.006	12.307	10.77
ENSMUST00000195269	ENSMUST00000195269	ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
