gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000106557	Gm42442	0.02748	0	0.02634	0.026144	0.029587	0.051227	0.026366	0.079209	0.195071	0.032151	0.036428	0.040693	0.143142	0.023113	0.028344
ENSMUSG00000106558	Gm5552	0	0.267542	0.287515	0.217305	0.235542	0.353095	0.092872	0.178334	0.181522	0.355974	0.101168	0.377741	0.197555	0.565019	0.155072
ENSMUSG00000106559	Gm43680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106560	Gm43119	0.21767	0.384011	0.34003	0.271393	0.518462	0.874846	0.586658	0.588597	0.737583	0.365635	0.467831	0.715806	0.619787	0.399747	0.843773
ENSMUSG00000106562	Gm5981	0	0	0	0.078739	0	0.076715	0	0	0	0	0	0	0.107301	0	0
ENSMUSG00000106563	Mir6962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106564	Gm8969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106565	Gm43582	0.732201	0.129192	0.274425	0.562699	1.016981	0.135922	0.28198	0.138973	0.528118	0.344517	0.195688	0.107489	0.379741	0.123943	0.294991
ENSMUSG00000106566	Gm43836	0	0.107516	0	0	0	0	0	0	0.146496	0	0	0	0	0	0
ENSMUSG00000106567	2010309G21Rik	0	0	0	0	0.185286	0	0.087113	0	0	0.106254	0	0	0.117791	0	0
ENSMUSG00000106568	Gm42814	0.179463	0	0	0.08594	0.092144	0	0.087341	0	0.108176	0.10555	0	0	0	0.153873	0.09167
ENSMUSG00000106569	Gm43036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106570	C230071H17Rik	0.047419	0.025095	0.009125	0.009005	0.020723	0.088384	0.027255	0.03648	0.111653	0.077547	0.050141	0.07733	0.123431	0.087534	0.01962
ENSMUSG00000106572	4933417G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106573	Gm43183	0	0	0.065977	0.199077	0	0.064738	0.200605	0	0.166163	0.163081	0.092664	0.102554	0	0.117441	0.213451
ENSMUSG00000106574	Gm2451	0.051961	0.114171	0.096223	0.138899	0	0	0.039477	0.036628	0	0.045764	0.050562	0	0.191599	0.032373	0.044463
ENSMUSG00000106575	Gm42613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106576	Gm4866	0	0	0	0	0	0	0	0	0	0	0	0	0.081598	0	0
ENSMUSG00000106577	Gm31026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
